"id";"prec";"hfp";"forest";"area";"bioreg";"Var1";"Var2";"Ss";"Ce";"Cc";"Vv"
"168";485,553846153846;11,4318181818182;0,105828570554961;41,7604117750173;"3";3255,94809840556;1953,69314521309;96;4;8;12
"169";468,9888053467;11,5248015873016;0,045013368548465;71,4489217823047;"3";3249,89690901883;1947,49585139174;15;0;10;54
"170";455,779069767442;15,9597701149425;0;30,8458093001954;"3";3218,68918249489;1966,57748556339;6;0;1;8
"171";389,191489361702;14,7878787878788;0,061807531090651;32,023550392362;"3";3315,92845179148;1894,67577974605;15;0;4;15
"172";491,407597658947;6,16669453267751;0,096135956801924;146,453347019766;"3";3264,91210984165;1990,70214395709;149;17;49;58
"173";459,909090909091;9,57142857142857;0,099872356413787;29,3639030344715;"3";3268,26972397459;1938,59579866526;50;0;10;78
"174";423,795918367347;5,79710144927536;0,718695120163718;65,801200927741;"3";3325,74505441924;1926,90013970239;31;5;16;0
"175";514,564102564103;2;0,809237458767035;26,6786027027906;"2";3272,67351871818;2028,59733275042;136;50;28;5
"176";441,870833333333;6,86666666666667;0,587657029848903;18,6570058523888;"3";3313,90846124089;1929,93388033653;53;17;16;18
"177";475,649572649573;7,67076502732241;0,024715861206284;68,6307050220678;"3";3247,78212327278;1956,04700562829;74;0;8;34
"178";612,01047979798;4,03757736516357;0,669856643229566;106,600548402401;"2";3330,45331364246;1979,76467869776;93;103;30;50
"179";424,309090909091;5,85142118863049;0,250502430276364;50,5096727801318;"3";3201,11293629077;1978,5676893169;70;0;4;105
"180";536,539473684211;4,92727272727273;0,592681475276117;40,1825533161068;"2";3288,06164946068;1990,61617110011;137;143;28;50
"181";469,48567251462;10,0307331557332;0,040212784278495;144,265025701566;"3";3237,96324785465;1971,92159479466;49;0;39;146
"182";497,446709882583;6,29170918367347;0,662463871699973;91,8383582030611;"3";3279,32954628848;1953,6552393107;197;28;46;35
"183";480,291469202079;8,95842911877395;0,217514424038455;87,3364374536953;"3";3279,88424719945;1939,04361528383;116;4;22;757
"184";518,975943786606;7,2084122644273;0,475027703160792;132,992584903778;"2";3270,62485482772;1978,70033552287;354;75;120;73
